"freight_cost","avg_review_score"
"127.82","5.00"
"116.94","5.00"
"82.84","5.00"
"49.06","5.00"
"48.57","5.00"
"70.78","5.00"
"42.02","5.00"
"102.69","5.00"
"46.25","5.00"
"45.43","5.00"
"92.16","5.00"
"60.35","5.00"
"1.22","5.00"
"53.40","5.00"
"2.02","5.00"
"61.80","5.00"
"46.23","5.00"
"82.44","5.00"
"63.81","5.00"
"63.01","5.00"
"44.15","5.00"
"60.02","5.00"
"62.43","5.00"
"49.41","5.00"
"93.41","5.00"
"74.77","5.00"
"80.34","5.00"
"47.25","5.00"
"31.19","5.00"
"88.21","5.00"
"68.56","5.00"
"75.79","5.00"
"55.69","5.00"
"151.20","5.00"
"71.22","5.00"
"78.64","5.00"
"57.05","5.00"
"39.72","5.00"
"52.92","5.00"
"51.28","5.00"
"89.21","5.00"
"74.06","5.00"
"64.00","5.00"
"250.57","5.00"
"88.96","5.00"
"50.89","5.00"
"45.96","5.00"
"102.94","5.00"
"64.47","5.00"
"58.43","5.00"
"42.99","5.00"
"78.37","5.00"
"115.43","5.00"
"77.27","5.00"
"29.53","5.00"
"58.19","5.00"
"106.67","5.00"
"60.61","5.00"
"76.13","5.00"
"40.73","5.00"
"70.05","5.00"
"163.37","5.00"
"86.69","5.00"
"70.48","5.00"
"127.55","5.00"
"64.19","5.00"
"68.06","5.00"
"88.09","5.00"
"55.24","5.00"
"213.53","5.00"
"37.28","5.00"
"50.19","5.00"
"72.87","5.00"
"61.46","5.00"
"67.09","5.00"
"77.18","5.00"
"81.85","5.00"
"71.72","5.00"
"64.17","5.00"
"55.67","5.00"
"69.23","5.00"
"95.31","5.00"
"57.62","5.00"
"56.65","5.00"
"75.05","5.00"
"58.51","5.00"
"75.82","5.00"
"60.65","5.00"
"107.87","5.00"
"30.45","5.00"
"83.59","5.00"
"54.41","5.00"
"215.43","5.00"
"314.02","5.00"
"61.31","5.00"
"48.95","5.00"
"104.26","5.00"
"51.99","5.00"
"67.53","5.00"
"41.89","5.00"
"106.43","5.00"
"202.37","5.00"
"155.82","5.00"
"8.56","5.00"
"70.18","5.00"
"58.09","5.00"
"60.09","5.00"
"94.94","5.00"
"49.68","5.00"
"120.78","5.00"
"79.47","5.00"
"106.77","5.00"
"132.38","5.00"
"72.05","5.00"
"92.01","5.00"
"28.57","5.00"
"65.94","5.00"
"35.20","5.00"
"75.76","5.00"
"60.60","5.00"
"46.95","5.00"
"87.23","5.00"
"39.07","5.00"
"77.79","5.00"
"85.75","5.00"
"56.27","5.00"
"39.60","5.00"
"60.48","5.00"
"3.21","5.00"
"6.08","5.00"
"116.87","5.00"
"172.31","5.00"
"135.40","5.00"
"55.40","5.00"
"4.15","5.00"
"178.52","5.00"
"38.69","5.00"
"322.10","5.00"
"2.97","5.00"
"2.21","5.00"
"55.54","5.00"
"60.08","5.00"
"34.98","5.00"
"0.91","5.00"
"97.72","5.00"
"93.52","5.00"
"48.77","5.00"
"65.57","5.00"
"58.32","5.00"
"52.83","5.00"
"62.32","5.00"
"33.30","5.00"
"85.16","5.00"
"4.90","5.00"
"53.51","5.00"
"109.87","5.00"
"64.37","5.00"
"61.16","5.00"
"4.77","5.00"
"41.91","5.00"
"254.55","5.00"
"68.51","5.00"
"94.09","5.00"
"98.35","5.00"
"67.19","5.00"
"41.83","5.00"
"54.00","5.00"
"61.01","5.00"
"82.67","5.00"
"60.83","5.00"
"57.50","5.00"
"33.60","5.00"
"95.95","5.00"
"80.74","5.00"
"4.31","5.00"
"24.36","5.00"
"137.12","5.00"
"169.12","5.00"
"81.69","5.00"
"49.27","5.00"
"88.24","5.00"
"101.85","5.00"
"48.30","5.00"
"59.15","5.00"
"7.03","5.00"
"104.81","5.00"
